Ministere / Entite;Acheteur;Libelle du projet achat;Code nomenclature Etat; Libelle nomenclature Etat;Perimetre organisationnel;Perimetre geographique;Region si perimetre geographique regional;Date envisagee pour la notification;Duree envisagee en mois, toutes periodes incluses hors garantie;Montant previsionnel HT (toutes periodes de reconduction incluses);annee
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Rennes;BdD Avord-Bourges (departements 18, 36 et 41) - Suivi des piezometres CF;37.02.10;Maintenance equipements industriels;Ministeriel;Regional ou infra;CENTRE VAL DE LOIRE;2018 novembre;48;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Rennes;14NN110 - RENNES (35) - Exploitation et maintenance des equipements techniques situes dans les differents immeubles du perimetre;37.05.03;Contrat multiservices-multitechniques;Ministeriel;Regional ou infra;BRETAGNE;2018 decembre;48;entre 1 MEuros et 10 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Rennes;15NN144 - GUER (56) - Camp de Coetquidan -exploitation et de maintenance multi-technique de la base de defense de Vannes Coetquidan - Lot ne 4 : Production et assainissement d'eau;37.05.02;Contrat de maintenance multitechniques;Ministeriel;Regional ou infra;BRETAGNE;2019 4eme trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Rennes;15NN148 - GUER (56) - Camp de Coetquidan -exploitation et de maintenance multi-technique de la base de defense de Vannes Coetquidan - Lot ne 8 : Materiels techniques divers;37.05.02;Contrat de maintenance multitechniques;Ministeriel;Regional ou infra;BRETAGNE;2019 4eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;27058 - NIMES - CASERNE CHABRIERE - Rehabilitation Bet 002 EVLE (110 places);36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;PACA;2021 4eme trim;12;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;442570 - NIMES - CAMP DES GARRIGUES - installation technique accueil VBMR - SCORPION;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;PACA;2019 4eme trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;441202 - PORT VENDRE - Semaphore du cap Bear - Renovation du semaphore du Cap Bear;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;PACA;2020 4eme trim;12;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;443373 - MARSEILLE  - CASERNE SAINTE MARTHE - LSEA- Reorganisation du laboratoire -CEPIA Ste Marthe., (ancien CRE) (travaux suite a MOP);36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;PACA;2020 1er trim;12;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;440483 - 018 AC MONTFERRAT 1 RCA - CANJUERS durcissement plate-forme FOB VILLARS puis ELECTRIFICATION;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;PACA;2018 decembre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;441776 - 018 AC DRAGUIGNAN - CMA - Rehabilitation du betiment et accueil de la chefferie CMA-NG;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;PACA;2018 decembre;12;entre 1 MEuros et 10 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;448446 - 018 AC LE CANNET DES MAURES EALAT -STAND B6 Adaptation contrainte/reglementation ST/CT ECI EMZD Lyon;36.02.04;Travaux de mise aux normes betiment;Ministeriel;Regional ou infra;PACA;2018 decembre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;443665 - 018 AC FREJUS 21 RIMA - COL LECOCQ - Renovation ZT liee e arrivee VBMR - INFRA SCORPION Etape 1;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;PACA;2018 novembre;12;entre 1 MEuros et 10 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;ISTRES - Maintenance et exploitation des installations de chauffage, climatisation, ventilation mecanique contrelee (VMC et gestion technique centralisee (GTC);37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Ministeriel;Regional ou infra;PACA;2018 octobre;48;entre 1 MEuros et 10 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;ACCORD CADRE pour l'execution de travaux d'entretien et d'adaptations de la BDD MAR - Marche d'electricite;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;PACA;2020 4eme trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;442082 - CARCASSONNE - QUARTIER LAPERRINE - Rehabilitation BCC au profit GSBDD - Bet 010;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;OCCITANIE;2019 4eme trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;441338 - MONT LOUIS - CNEC - CASERNE DE LA CITADELLE - CREATION D'HEBERGEMENT STAGIAIRES  Bet 001, 002, 003, 0010 et 0013 - Relogement des EVAT et augmentation de la capacite d'accueil des stagiaires du CNEC;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;OCCITANIE;2020 4eme trim;12;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;MBC pour l'execution de travaux d'entretien et d'adaptation tous corps d'etat BDD SLZ LOT 7 : plomberie-chauffage-ventilation;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;CORSE;2020 3eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;447873 - 018 AC VARCES 7 BCA-7 RMAT-93RAM - de REYNIES - Adaptation de la ZT pour accueil VBMR - SCORPION;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2019 4eme trim;12;entre 10 MEuros et 100 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;Fourniture et livraison d'articles divers de peinture pour betiments e destination des emprises relevant du perimetre de competence de l'ESID de LYON;36.05.01;Materiaux constr (ciment,pletre,carrelage,bois,revetements);Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2020 1er trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;MBC pour l'execution de travaux d'entretien et d'adaptation tous corps d'etat BDD LVB - Sites et immeubles situes dans le departement de l'AIN LOT 2 : Menuiseries exterieurs, virerie et miroiterie, stores et fermetures, metallerie;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2020 1er trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;MBC pour l'execution de travaux d'entretien et d'adaptations mineurs tous corps d'etat - BDD GAC - departement de haute savoie LOT 3 : menuiseries et amenagements interieurs;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2020 4eme trim;48;entre 100 KEuros et 1 MEuros;2020
