nom;lieu;adresse;cp;type;nom_du_contact;contact;geolocalisation
Ferme pédagogique;Parc henri barbusse;6 rue Maximilien Robespierre;92130;ferme;Les bergeries d'issy;01 46 48 06 05;48.821491,2.271367
Jardins partagés du Chemin des Vignes;Jardin botanique;11 Chemin des vignes;92130;jardins partagés;Ville d'Issy-les-Moulineaux;01 41 23 80 00;48.817724,2.255225
Jardins partagés du Fort;Casemates sports (toit);52-64 promenade du verger;92130;jardins partagés;association les jardiniers du fort;lesjardiniersdufort@gmail.com;48.817133,2.266416
Jardins partagés ILN Mairie;Résidence Iln Mairie;2 rue Lamartine;92130;jardins partagés;Seine ouest Habitat;infos@seine-ouest-habitat.com;48.823672,2.274734
jardins partagés Séverine;Résidence Séverine 2;rue Séverine;92130;jardins partagés;Seine ouest Habitat;infos@seine-ouest-habitat.com;48.830272,2.278213
Composteur de quartier;Square de Weiden;AVENUE VICTOR CRESSON;92130;composteur de quartier;Association Issy en Transition;issyentransition@gmail.com;48.823694,2.272201
Vignes;restaurant Issy Guinguette;113 bis avenue de verdun;92130;vignes;restaurant issy guinguette;01 46 62 04 27;48.819121,2.254921
Jardins partagés de la pointe de l'ile;rue Pierre Poli;107 rue Pierre Poli;92130;jardins partagés;association les jardiniers de la pointe de l'ile;desjardiniersdelapointedelile@gmail.com;48.821414,2.239914
Composteur de quartier;Square des Varennes;RUE FOUCHER LEPELLETIER;92130;composteur de quartier;Association Issy en Transition;issyentransition@gmail.com;48.830662,2.279737
Composteur de quartier Square Louis Blériot;Square Louis Blériot;ESPLANADE DE GURO;92130;composteur de quartier;Association Issy en Herbe;issyenherbe@gmail.com;48.829385,2.266512
Rucher du talus;Talus Garibaldi;4 boulevard Garibaldi;92130;rucher;Ville d'Issy-les-Moulineaux;01 41 23 80 00;48.825139,2.261835
Jardins partagés chemin de Bretagne;Chemin de Bretagne;Chemin de Bretagne;92130;jardins partagés;Ville d'Issy-les-Moulineaux;01 41 23 80 00;48.824323,2.258194
Jardins partagés du Forum des Epinettes;Forum des Epinettes;rue Honoré Fragonard;92130;jardins partagés;Ville d'Issy-les-Moulineaux;01 41 23 80 00;48.817782,2.258033
jardins partagés du Bois Vert;Résidence le Bois Vert Chemin du Bois Vert;10-16 rue Minard;92130;jardins partagés;Seine ouest Habitat;infos@seine-ouest-habitat.com;48.823121,2.276481
Composteur de quartier;Au débouché de la Rue du Ponceau côté quai;QUAI DE LA BATAILLE DE STALINGRAD;92130;composteur de quartier;Issy en Transition;composteur.stalingrad.iet@gmail.com;48.829402,2.260445
Composteur de quartier;allée au débouché de l'escalier mécanique;IMPASSE DES QUATRE VENTS;92130;composteur de quartier;Association Un quotidien plus vert;unquotidienplusvert@gmail.com;48.829876,2.284564
Eco-paturage;Talus Garibaldi;4-6 boulevard Garibaldi;92130;eco-paturage;Ville d'Issy-les-Moulineaux;01 41 23 80 00;48.823145,2.262305
Rucher du musée;Musée de la carte à jouer;16 rue Auguste gervais;92130;rucher;Musée français de la carte à jouer;01 41 23 83 60;48.82259,2.273568
Composteur de quartier chemin de Bretagne;Chemin de Bretagne;CHEMIN DE BRETAGNE;92130;composteur de quartier;Association Terriens d’Issy;terriensdissy@gmail.com;48.824323,2.258194
